,watch_name,Watch Description,Watch Price,Total Rating
134,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
135,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,349"
136,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
137,TIMEWEAR,The Watch,"2,699","5,504"
138,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
139,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
140,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
141,NIBOSI,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,"2,699",150
142,Fossil,Chronograph Black Men Watch CH2885,"6,145","1,493"
143,Fossil,Chronograph Black Dial Men's Watch-BQ2364,"6,597","1,393"
144,Acnos,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)","2,999","1,672"
145,Sonata,Brand - A Watch Analogue Plain Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Combo Of 3),329,747
146,LOUIS DEVIN,Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15,"1,499",87
147,Fire-Boltt ,Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),329,"1,109"
148,Fastrack,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)","1,699",255
149,boAt,Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,299,"127,137"
150,LORENZ,TAGG Verve NEO Smartwatch 1.69’’ HD Display | 60+ Sports Modes | 10 Days Battery | 150+ Maximum Watch Face Library | Waterproof | 24 * 7 HeartRate & Blood Oxygen Tracking | Games & Calculator | Grey,"2,799",878
151,TAGG,Analog Watch for Men | Watch for Boys,"1,550",674
152,TIMEX,"Hammer Pulse X 1.83"" Display Smart Watch with Bluetooth Calling, Voice Assistant & 60+ Sports Modes, SpO2, Heart Rate Tracking (Black)",749,163
153,Hammer,Analog Rose Gold Dial Women's Watch-TWEL11817,395,"5,880"
154,SELLORIA,"beatXP Marv Raze 1.96"" Display, Advanced Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 60 Hz Refresh Rate, Health, SpO2 & Stress Monitoring, Fast Charging (Blue)","1,599",491
155,beatXP,The Watch (Fourteen Tales of Thirteen Covens Book 5),"1,455",243
156,hamt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,699",333
157,Fossil,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Raven Gold)",0,912
158,Fire-Boltt,Analog Men's Watch (Multicolor Dial Multi Colored Strap),"1,499",3
159,boAt,Chronograph White Dial Men's Watch-CH2882,139,"2,832"
160,Audrey Brice,"PTron Newly Launched Force X10S Smartwatch with Bluetooth Calling, 1.85"" Full Touch Display, 600 NITS Brightness, HR, SpO2, Watch Faces, Voice Assistant, 5days Battery Life & IP68 Waterproof (Black)","5,595",83
161,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
162,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
163,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
164,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
